State,Country,Date,Time,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Lat,Long
Mizoram,India,2021-04-08,04:21:13,4522,11,4451,60,364.8998905784495,0.24325519681556834,23.309381,92.83822
Nagaland,India,2021-04-08,04:21:13,12376,92,12143,141,550.119016133298,0.7433742727860375,26.06702,94.470302
Odisha,India,2021-04-08,04:21:13,344647,1923,338662,4062,743.4733730238461,0.5579622048066573,20.505428,84.418059
Puducherry,India,2021-04-08,04:21:13,42949,687,40442,1820,3038.395746288402,1.5995715849030245,11.882658,78.86498
Punjab,India,2021-04-08,04:21:13,260020,7278,226887,25855,862.6680675760855,2.799015460349204,30.841465000000003,75.40879
Rajasthan,India,2021-04-08,04:21:13,346791,2866,325779,18146,427.9643243728466,0.8264343653670366,26.583423,73.847973
Sikkim,India,2021-04-08,04:21:13,6317,136,6086,95,915.1743351331615,2.1529206902010447,27.571671,88.472712
Tamil Nadu,India,2021-04-08,04:21:13,911110,12821,870546,27743,1170.4716985143623,1.4071846429081012,11.006091,78.400624
Telangana,India,2021-04-08,04:21:13,319054,1741,303601,13712,810.5484141700327,0.545675653651106,18.1124,79.0193
Tripura,India,2021-04-08,04:21:13,33612,393,33095,124,806.0829863537623,1.1692252766868976,23.746783,91.743565
Uttar Pradesh,India,2021-04-08,04:21:13,645930,8964,604979,31987,271.5329580994164,1.3877664762435558,26.925425,80.560982
Uttarakhand,India,2021-04-08,04:21:13,104711,1741,98444,4526,930.6934635562906,1.6626715435818586,30.156447,79.197608
West Bengal,India,2021-04-08,04:21:13,600024,10363,575371,14290,602.3774707067271,1.7270975827633561,23.814082,87.979803
Andaman and Nicobar Islands,India,2021-04-09,04:21:13,5149,62,5027,60,1234.66559241888,1.204117304330938,11.225999,92.968178
Andhra Pradesh,India,2021-04-09,04:21:13,915832,7268,893651,14913,1699.0247719656534,0.7935953318949327,15.9129,79.74
Arunachal Pradesh,India,2021-04-09,04:21:13,16873,56,16788,29,1074.3999521158796,0.3318911871036567,27.768456,96.384277
Assam,India,2021-04-09,04:21:13,219272,1112,215790,2370,615.8108232476169,0.507132693640775,26.357149,92.830441
Bihar,India,2021-04-09,04:21:13,273830,1595,264730,7505,219.4151942045222,0.5824781798926341,25.679658,85.60484
Chandigarh,India,2021-04-09,04:21:13,29521,389,26017,3115,2548.2682807454294,1.3177060397683005,30.733839,76.76827800000002
Chhattisgarh,India,2021-04-09,04:21:13,407231,4563,334543,68125,1383.4345844072225,1.1204942649258038,21.264705,82.035366
Dadra and Nagar Haveli and Daman and Diu,India,2021-04-09,04:21:13,3842,2,3631,209,623.980874547687,0.052056220718375845,20.194742,73.080901
Delhi,India,2021-04-09,04:21:13,698005,11157,663667,23181,3730.468225991215,1.5984126188207821,28.646519,77.10898
Goa,India,2021-04-09,04:21:13,60811,842,56638,3331,3833.632781717888,1.3846179145220436,15.359682,74.057396
Gujarat,India,2021-04-09,04:21:13,332474,4655,307346,20473,520.5284367039353,1.4001094822452282,22.694884,71.590923
Haryana,India,2021-04-09,04:21:13,307510,3230,287151,17129,1090.2795889421518,1.0503723456147767,29.20004,76.332824
Himachal Pradesh,India,2021-04-09,04:21:13,67511,1096,61902,4513,905.9501835424396,1.6234391432507296,31.927213,77.233081
Jammu and Kashmir,India,2021-04-09,04:21:13,135662,2019,128020,5623,997.0513702455918,1.4882575813418644,33.75943,76.612638
Jharkhand,India,2021-04-09,04:21:13,132790,1158,122383,9249,344.0694898588763,0.8720536184953687,23.654536,85.557631
Karnataka,India,2021-04-09,04:21:13,1040130,12767,973949,53414,1539.5036248262836,1.2274427235057157,14.70518,76.166436
Kerala,India,2021-04-09,04:21:13,1148947,4728,1110283,33936,3218.389149657041,0.4115072322744217,10.450898,76.405749
Ladakh,India,2021-04-09,04:21:13,10503,130,9868,505,3829.172879699879,1.2377415976387698,34.1526,77.5771
Lakshadweep,India,2021-04-09,04:21:13,778,1,719,58,1207.5307703052972,0.12853470437017994,13.6999972,72.18333259999999
Madhya Pradesh,India,2021-04-09,04:21:13,322338,4113,290165,28060,377.62641569049015,1.2759897995272043,23.541513,78.289633
Maharashtra,India,2021-04-09,04:21:13,3229547,57028,2649757,522762,2622.572883504247,1.7658204076299246,19.449759,76.108221
Manipur,India,2021-04-09,04:21:13,29463,375,29001,87,953.0186363129116,1.2727828123409022,24.738975,93.882541
Meghalaya,India,2021-04-09,04:21:13,14165,151,13883,131,420.7371588286487,1.0660077656194846,25.536934,91.278882
